Codigo_Ciudad;Codigo_Distrito;Codigo_Barrio;Codigo_Seccion;Nombre_Ciudad;Nombre_Distrito;Nombre_Barrio;Codigo;X2022_persona;X2021_persona;X2020_persona;X2019_persona;X2018_persona;X2017_persona;X2016_persona;X2015_persona;X2022_hogar;X2021_hogar;X2020_hogar;X2019_hogar;X2018_hogar;X2017_hogar;X2016_hogar;X2015_hogar;X2022_consumo;X2021_consumo;X2020_consumo;X2019_consumo;X2018_consumo;X2017_consumo;X2016_consumo;X2015_consumo;X2022_bruta_persona;X2021_bruta_persona;X2020_bruta_persona;X2019_bruta_persona;X2018_bruta_persona;X2017_bruta_persona;X2016_bruta_persona;X2015_bruta_persona;X2022_bruta_hogar;X2021_bruta_hogar;X2020_bruta_hogar;X2019_bruta_hogar;X2018_bruta_hogar;X2017_bruta_hogar;X2016_bruta_hogar;X2015_bruta_hogar
46250;4;3;12;València;Distrito 04;El Calvari;4625004012 València sección 04012;10223;9563;9247;9074;8889;8640;8164;7952;25407;24251;22987;22937;22055;20497;19610;19345;14823;13969;13410;13128;12854;12462;11681;11426;12250;12250;11550;11550;10150;10850;10150;9450;11548;10775;10388;10188;10062;9783;9197;8917
46250;4;3;14;València;Distrito 04;El Calvari;4625004014 València sección 04014;11929;11154;10411;10109;9928;9748;9520;9129;29841;27730;25867;26315;25937;24355;23960;23316;17118;16028;14826;14620;14451;14032;13638;13448;15750;14350;12250;12950;12950;12950;12250;12250;13847;12906;11982;11547;11322;11121;10916;10432
46250;4;3;15;València;Distrito 04;El Calvari;4625004015 València sección 04015;11438;10979;10689;10490;9829;9309;9328;9176;25671;25096;23782;23474;22273;20667;18981;18738;16308;15525;14926;14717;13750;13085;12858;12584;15050;13650;12950;12950;12250;11550;11550;11550;13201;12630;12259;12022;11164;10576;10539;10303
46250;4;3;16;València;Distrito 04;El Calvari;4625004016 València sección 04016;11102;10192;10248;9867;9569;9504;9142;9218;24602;23098;22351;22158;21505;21490;20867;20519;15364;14657;14300;13928;13387;13162;12708;13005;14350;12950;12950;12250;11550;11550;11550;11550;12702;11845;11627;11241;10902;10919;10426;10501
46250;4;4;17;València;Distrito 04;Sant Pau;4625004017 València sección 04017;15800;15488;15080;14701;14578;13993;13407;13084;40972;39688;39090;38459;37948;36807;35434;34853;23594;22944;22224;21703;21486;21026;19902;19471;22050;21350;21350;20650;19950;19250;17850;17150;19603;18771;18217;17774;17622;17034;16170;15898
46250;4;4;18;València;Distrito 04;Sant Pau;4625004018 València sección 04018;18072;17754;17897;16923;16532;16040;16515;15825;51239;49901;50435;48025;46391;44156;44577;42592;29587;28714;28464;27135;26203;25552;25718;24831;28350;26950;26950;25550;24150;23450;22750;22050;24225;23184;22934;21915;21217;20588;21253;20354
46250;4;4;19;València;Distrito 04;Sant Pau;4625004019 València sección 04019;20929;19978;17630;18426;17210;16012;15852;15605;64934;62955;51543;54193;50009;47173;46537;45396;34195;32510;28594;29538;27442;25516;25481;25137;29750;28350;26250;25550;24150;23450;22750;22750;28651;27421;23507;24361;22178;20632;20356;20016
46250;4;1;20;València;Distrito 04;Campanar;4625004020 València sección 04020;17450;16989;16452;16311;15275;15003;15085;14219;41973;40280;39098;40195;38217;36723;36764;35815;25619;24907;24005;23949;22490;22199;21992;20859;22050;22050;22050;21350;19950;19250;18550;17850;21497;20923;20181;19948;18580;18477;18399;17219
46250;4;1;21;València;Distrito 04;Campanar;4625004021 València sección 04021;17213;16510;16096;15738;14976;14640;14161;13792;44167;42045;41709;41843;40408;39549;35939;35250;25745;24626;24240;23705;22630;22189;21357;20676;24150;22750;22750;22050;21350;19950;19950;19250;21481;20436;20078;19453;18444;18041;17382;16908
46250;4;1;22;València;Distrito 04;Campanar;4625004022 València sección 04022;15108;14486;14410;14230;14088;12975;12552;12734;39476;37362;37483;36310;37089;34646;33839;34080;22537;21541;21575;21030;20948;19336;18797;18926;20650;19950;19250;18550;18550;17850;16450;16450;18328;17613;17380;17206;17011;15560;15106;15241
46250;4;4;23;València;Distrito 04;Sant Pau;4625004023 València sección 04023;14257;13224;12709;12491;12159;11557;11149;10965;32505;31266;30147;30273;29342;28028;27331;26352;20815;19090;18464;18184;17580;17043;16523;15954;18550;17500;17150;16450;16450;15750;15050;14350;17069;15737;14971;14675;14267;13600;13028;12848
46250;4;4;24;València;Distrito 04;Sant Pau;4625004024 València sección 04024;19245;18417;17637;19352;18103;17085;16860;17173;54430;51500;49361;55039;50807;47939;47346;47705;30499;28942;29008;31412;29471;27353;27032;27075;28350;25550;25550;25550;24150;23450;23450;22750;25791;24534;23992;25518;23678;22746;21887;22324
46250;4;4;25;València;Distrito 04;Sant Pau;4625004025 València sección 04025;15997;15414;16335;16225;15542;14749;14423;14267;41115;39233;44457;44727;43085;40614;39236;38567;24559;23334;25872;25889;24658;23546;22847;22406;21350;19250;23450;22750;22050;21350;20650;19950;20379;19470;20931;20688;19834;18716;18199;18005
46250;4;4;26;València;Distrito 04;Sant Pau;4625004026 València sección 04026;19548;17676;16612;16830;16691;17494;17720;16138;57032;51326;48460;49979;49299;51640;52593;46521;31187;28530;27704;28241;28086;28666;28714;26634;27650;25550;25550;25550;25550;25550;24850;24850;26279;23648;22212;22602;22375;23213;23656;20983
